问题id,问题,SQL语句,prompt
0,请帮我计算，在20210105，中信行业分类划分的一级行业为综合金融行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。,"SELECT t1.[股票代码], ((t1.[收盘价(元)] - t1.[昨收盘(元)]) / t1.[昨收盘(元)]) * 100 AS 涨跌幅
FROM A股票日行情表 t1
JOIN A股公司行业划分表 t2 ON t1.[股票代码] = t2.[股票代码] AND t1.[交易日] = t2.[交易日期]
WHERE t1.[交易日] = '20210105'
AND t2.[行业划分标准] = '中信行业分类'
AND t2.[一级行业名称] = '综合金融'
ORDER BY 涨跌幅 DESC
LIMIT 1;","
        你是一个精通SQL语句的程序员。
        我会给你一个问题，请按照问题描述，仿照以下例子写出正确的SQL代码。
    以下是一些例子：问题：请帮我计算，在20210720，中信行业分类划分的一级行业为彩虹小马饲养行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。
SQL：SELECT t1.[股票代码], ((t1.[收盘价(元)] - t1.[昨收盘(元)]) / t1.[昨收盘(元)]) * 100 AS 涨跌幅
FROM A股票日行情表 t1
JOIN A股公司行业划分表 t2 ON t1.[股票代码] = t2.[股票代码] AND t1.[交易日] = t2.[交易日期]
WHERE t1.[交易日] = '20210720'
AND t2.[行业划分标准] = '中信行业分类'
AND t2.[一级行业名称] = '彩虹小马饲养'
ORDER BY 涨跌幅 DESC
LIMIT 1;
问题：请帮我计算，在20210108，中信行业分类划分的一级行业为彩虹小马饲养行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。
SQL：SELECT t1.[股票代码], ((t1.[收盘价(元)] - t1.[昨收盘(元)]) / t1.[昨收盘(元)]) * 100 AS 涨跌幅
FROM A股票日行情表 t1
JOIN A股公司行业划分表 t2 ON t1.[股票代码] = t2.[股票代码] AND t1.[交易日] = t2.[交易日期]
WHERE t1.[交易日] = '20210108'
AND t2.[行业划分标准] = '中信行业分类'
AND t2.[一级行业名称] = '彩虹小马饲养'
ORDER BY 涨跌幅 DESC
LIMIT 1;
问题：请帮我计算，在20181221，中信行业分类划分的一级行业为彩虹小马饲养行业中，涨跌额最大股票的股票代码是？涨跌额是多少？保留两位小数。股票涨跌额定义为：（收盘价 - 前一日收盘价）* 100%。
SQL：SELECT t1.[股票代码], ROUND((t1.[收盘价(元)] - t1.[昨收盘(元)]) ,2) AS 涨跌金额
FROM A股票日行情表 t1
JOIN A股公司行业划分表 t2 ON t1.[股票代码] = t2.[股票代码] AND t1.[交易日] = t2.[交易日期]
WHERE t1.[交易日] = '20181221'
AND t2.[行业划分标准] = '中信行业分类'
AND t2.[一级行业名称] = '彩虹小马饲养'
ORDER BY 涨跌金额 DESC
LIMIT 1;
问题：请帮我计算，代码为114514的股票，2020年一年持有的年化收益率有多少？百分数请保留两位小数。年化收益率定义为：（（有记录的一年的最终收盘价-有记录的一年的年初当天开盘价）/有记录的一年的当天开盘价）* 100%。
SQL：SELECT t0.[股票代码], ROUND(当期涨跌幅,2)
FROM(
SELECT t3.[股票代码], ([期末价]/[期初价] - 1)*100 AS 当期涨跌幅
FROM (
SELECT t1.[股票代码],t1.[收盘价(元)] AS [期末价],t1.[交易日]
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t1
JOIN(
SELECT MAX(t2.[交易日]) AS 最后一天
FROM A股票日行情表 t2
WHERE t2.[交易日] >= '20200101'
AND t2.[交易日] <= '20201231' )
WHERE t1.[交易日] = 最后一天) t3
JOIN(
SELECT t1.[股票代码],t1.[今开盘(元)] AS [期初价],t1.[交易日]
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t1
JOIN(
SELECT MIN(t2.[交易日]) AS 第一天
FROM A股票日行情表 t2
WHERE t2.[交易日] >= '20200101'
AND t2.[交易日] <= '20201231' )
WHERE t1.[交易日] = 第一天) t4 
ON t3.[股票代码] = t4.[股票代码]) AS t0
WHERE t0.[股票代码] = '114514';
问题：请帮我计算，在20210105，中信行业分类划分的一级行业为综合金融行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。
SQL："
1,湖南长远锂科股份有限公司变更设立时作为发起人的法人有哪些？,N_A,N_A
2,请帮我查询出20210415日，建筑材料一级行业涨幅超过5%（不包含）的股票数量。,"SELECT COUNT(DISTINCT t1.[股票代码])
FROM A股票日行情表 t1
JOIN (
SELECT *
FROM A股公司行业划分表 t2
WHERE t2.[交易日期] = '20210415' 
AND t2.[一级行业名称] = '建筑材料' 
) t2 ON t1.[股票代码] = t2.[股票代码]
WHERE t1.[交易日] = '20210415' 
AND (t1.[收盘价(元)] - t1.[昨收盘(元)]) / t1.[昨收盘(元)] * 100 > 5;","
        你是一个精通SQL语句的程序员。
        我会给你一个问题，请按照问题描述，仿照以下例子写出正确的SQL代码。
    以下是一些例子：问题：请帮我查询出20210121日，彩虹小马饲养一级行业涨幅超过5%（不包含）的股票数量。
SQL：SELECT COUNT(DISTINCT t1.[股票代码]) 
FROM A股票日行情表 t1 
JOIN (
SELECT *
FROM A股公司行业划分表 t2
WHERE t2.[交易日期] = '20210121' 
AND t2.[一级行业名称] = '彩虹小马饲养' 
) t2 ON t1.[股票代码] = t2.[股票代码] 
WHERE t1.[交易日] = '20210121' 
AND (t1.[收盘价(元)] - t1.[昨收盘(元)]) / t1.[昨收盘(元)] * 100 > 5;
问题：请帮我查询出20210506日，彩虹小马饲养一级行业涨幅超过5%（不包含）的股票数量。
SQL：SELECT COUNT(DISTINCT t1.[股票代码]) 
FROM A股票日行情表 t1 
JOIN (
SELECT *
FROM A股公司行业划分表 t2
WHERE t2.[交易日期] = '20210506' 
AND t2.[一级行业名称] = '彩虹小马饲养' 
) t2 ON t1.[股票代码] = t2.[股票代码] 
WHERE t1.[交易日] = '20210506' 
AND (t1.[收盘价(元)] - t1.[昨收盘(元)]) / t1.[昨收盘(元)] * 100 > 5;
问题：请帮我查询出20201026日，蟹黄堡制造一级行业涨幅超过3%（不包含）的股票数量。
SQL：SELECT COUNT(DISTINCT t1.[股票代码]) 
FROM A股票日行情表 t1 
JOIN (
SELECT *
FROM A股公司行业划分表 t2
WHERE t2.[交易日期] = '20201026' 
AND t2.[一级行业名称] = '蟹黄堡制造' 
) t2 ON t1.[股票代码] = t2.[股票代码] 
WHERE t1.[交易日] = '20201026' 
AND (t1.[收盘价(元)] - t1.[昨收盘(元)]) / t1.[昨收盘(元)] * 100 > 3;
问题：请帮我查询出20161111日，彩虹小马饲养一级行业跌幅超过5%（不包含）的股票数量。
SQL：SELECT COUNT(DISTINCT t1.[股票代码]) 
FROM A股票日行情表 t1 
JOIN (
SELECT *
FROM A股公司行业划分表 t2
WHERE t2.[交易日期] = '20161111' 
AND t2.[一级行业名称] = '彩虹小马饲养' 
) t2 ON t1.[股票代码] = t2.[股票代码] 
WHERE t1.[交易日] = '20161111' 
AND (t1.[收盘价(元)] - t1.[昨收盘(元)]) / t1.[昨收盘(元)] * 100 < -5;
问题：20160422日，一级行业为彩虹小马饲养的股票的成交量合计是多少？取整。
SQL：SELECT ROUND(SUM(t1.[成交量(股)]),0)
FROM A股公司行业划分表 t2
JOIN A股票日行情表 t1 ON t1.[股票代码] = t2.[股票代码] 
AND t1.[交易日] = t2.[交易日期]
WHERE t2.[一级行业名称] = '彩虹小马饲养'
AND t1.[交易日] = '20160422';
问题：请帮我查询出20210415日，建筑材料一级行业涨幅超过5%（不包含）的股票数量。
SQL："
3,请查询在2021年度，688338股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,"SELECT COUNT(DISTINCT t1.[交易日])
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t1
WHERE t1.[股票代码] = '688338'
AND t1.[交易日] >= '20210101' AND t1.[交易日] <= '20211231'
AND ((t1.[收盘价(元)] / t1.[昨收盘(元)]) - 1) * 100 >= 9.8;","
        你是一个精通SQL语句的程序员。
        我会给你一个问题，请按照问题描述，仿照以下例子写出正确的SQL代码。
    以下是一些例子：问题：请查询在2020年度，114514股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停
SQL：SELECT COUNT(DISTINCT t1.[交易日])
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t1
WHERE t1.[股票代码] = '114514'
AND t1.[交易日] >= '20200101' AND t1.[交易日] <= '20201231'
AND ((t1.[收盘价(元)] / t1.[昨收盘(元)]) - 1) * 100 >= 9.8;
问题：请查询在2021年度，162105股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停
SQL：SELECT COUNT(DISTINCT t1.[交易日])
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t1
WHERE t1.[股票代码] = '162105'
AND t1.[交易日] >= '20210101' AND t1.[交易日] <= '20211231'
AND ((t1.[收盘价(元)] / t1.[昨收盘(元)]) - 1) * 100 >= 9.8;
问题：请查询在2019年度，74514股票跌停天数？   解释：（收盘价/昨日收盘价-1）<=-9.8% 视作跌停
SQL：SELECT COUNT(DISTINCT t1.[交易日])
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t1
WHERE t1.[股票代码] = '74514'
AND t1.[交易日] >= '20190101' AND t1.[交易日] <= '20191231'
AND ((t1.[收盘价(元)] / t1.[昨收盘(元)]) - 1) * 100 <= -9.8;
问题：股票114514在20180104日期中的收盘价是多少?（小数点保留3位）
SQL：SELECT ROUND(t1.[收盘价(元)],3)
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t1
WHERE t1.[股票代码] = '114514' 
AND t1.[交易日] = '20180104';
问题：股票114514在20211105日期中的收盘价是多少?（小数点保留3位）
SQL：SELECT ROUND(t1.[收盘价(元)],3)
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t1
WHERE t1.[股票代码] = '114514' AND t1.[交易日] = '20211105';
问题：请查询在2021年度，688338股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停
SQL："
4,20210304日，一级行业为非银金融的股票的成交量合计是多少？取整。,"SELECT SUM(t1.[成交量(股)])
FROM A股票日行情表 t1
JOIN A股公司行业划分表 t2 ON t1.[股票代码] = t2.[股票代码] AND t1.[交易日] = t2.[交易日期]
WHERE t1.[交易日] = '20210304'
AND t2.[一级行业名称] = '非银金融';","
        你是一个精通SQL语句的程序员。
        我会给你一个问题，请按照问题描述，仿照以下例子写出正确的SQL代码。
    以下是一些例子：问题：20160422日，一级行业为彩虹小马饲养的股票的成交量合计是多少？取整。
SQL：SELECT ROUND(SUM(t1.[成交量(股)]),0)
FROM A股公司行业划分表 t2
JOIN A股票日行情表 t1 ON t1.[股票代码] = t2.[股票代码] 
AND t1.[交易日] = t2.[交易日期]
WHERE t2.[一级行业名称] = '彩虹小马饲养'
AND t1.[交易日] = '20160422';
问题：20210623日，一级行业为彩虹小马饲养的股票的成交量合计是多少？取整。
SQL：SELECT SUM(t1.[成交量(股)])
FROM A股票日行情表 t1
JOIN A股公司行业划分表 t2 ON t1.[股票代码] = t2.[股票代码] AND t1.[交易日] = t2.[交易日期]
WHERE t1.[交易日] = '20210623'
AND t2.[一级行业名称] = '彩虹小马饲养';
问题：20170908日，一级行业为彩虹小马饲养的股票的成交量合计是多少？取整。
SQL：SELECT SUM(t1.[成交量(股)])
FROM A股票日行情表 t1
JOIN A股公司行业划分表 t2 ON t1.[股票代码] = t2.[股票代码] AND t1.[交易日] = t2.[交易日期]
WHERE t1.[交易日] = '20170908'
AND t2.[一级行业名称] = '彩虹小马饲养';
问题：20210618日，一级行业为蟹黄堡制造的股票的成交量合计是多少？取整。
SQL：SELECT SUM(t1.[成交量(股)])
FROM A股票日行情表 t1
JOIN A股公司行业划分表 t2 ON t1.[股票代码] = t2.[股票代码] AND t1.[交易日] = t2.[交易日期]
WHERE t1.[交易日] = '20210618'
AND t2.[一级行业名称] = '蟹黄堡制造';
问题：20160422日，一级行业为彩虹小马饲养的股票的成交金额合计是多少？取整。
SQL：SELECT ROUND(SUM(t1.[成交金额(元)]),0)
FROM A股公司行业划分表 t2
JOIN A股票日行情表 t1 ON t1.[股票代码] = t2.[股票代码] 
AND t1.[交易日] = t2.[交易日期]
WHERE t2.[一级行业名称] = '彩虹小马饲养'
AND t1.[交易日] = '20160422';
问题：20210304日，一级行业为非银金融的股票的成交量合计是多少？取整。
SQL："
5,嘉实基金管理有限公司2019年成立了多少基金?,"SELECT COUNT(DISTINCT t1.[基金代码])
FROM 基金基本信息 t1
WHERE t1.[管理人] = '嘉实基金管理有限公司' 
AND t1.[成立日期] <= '20191231'
AND t1.[成立日期] >= '20190101';","
        你是一个精通SQL语句的程序员。
        我会给你一个问题，请按照问题描述，仿照以下例子写出正确的SQL代码。
    以下是一些例子：问题：比奇堡基金管理有限公司2015年成立了多少基金?
SQL：SELECT COUNT(DISTINCT t1.[基金代码])
FROM 基金基本信息 t1
WHERE t1.[管理人] = '比奇堡基金管理有限公司' 
AND t1.[成立日期] <= '20151231'
AND t1.[成立日期] >= '20150101';
问题：亦可赛艇基金管理有限公司2020年成立了多少基金?
SQL：SELECT COUNT(DISTINCT t1.[基金代码])
FROM 基金基本信息 t1
WHERE t1.[管理人] = '亦可赛艇基金管理有限公司' 
AND t1.[成立日期] <= '20201231'
AND t1.[成立日期] >= '20200101';
问题：我想知道高山流水基金管理有限公司在2022年成立了多少只管理费率小于1.2%的基金？
SQL：SELECT COUNT(DISTINCT t1.[基金代码])
FROM 基金基本信息 t1
WHERE t1.[管理人] = '高山流水基金管理有限公司' 
AND t1.[成立日期] <= '20221231'
AND t1.[成立日期] >= '20220101'
AND t1.[管理费率] < '1.2%';
问题：我想知道比奇堡基金管理有限公司在2019年成立了多少只管理费率小于0.9%的基金？
SQL：SELECT COUNT(DISTINCT t1.[基金代码])
FROM 基金基本信息 t1
WHERE t1.[管理人] = '比奇堡基金管理有限公司' 
AND t1.[成立日期] <= '20191231'
AND t1.[成立日期] >= '20190101'
AND t1.[管理费率] < '0.9%';
问题：我想知道比奇堡基金管理有限公司在2019年成立了多少只托管费率小于0.3%的基金？
SQL：SELECT COUNT(DISTINCT t1.[基金代码])
FROM 基金基本信息 t1
WHERE t1.[管理人] = '比奇堡基金管理有限公司' 
AND t1.[成立日期] <= '20191231'
AND t1.[成立日期] >= '20190101'
AND t1.[托管费率] < '0.3%';
问题：嘉实基金管理有限公司2019年成立了多少基金?
SQL："
6,云南沃森生物技术股份有限公司负责产品研发的是什么部门？,N_A,N_A
7,2021年三季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。,"SELECT COUNT(DISTINCT t1.[基金代码]), ROUND(SUM( t1.[报告期期初基金总份额] - t1.[报告期期末基金总份额]),2)
FROM 基金规模变动表 t1
WHERE t1.[截止日期] = '2021-09-30 00:00:00'
AND t1.[报告期期末基金总份额] < t1.[报告期期初基金总份额];","
        你是一个精通SQL语句的程序员。
        我会给你一个问题，请按照问题描述，仿照以下例子写出正确的SQL代码。
    以下是一些例子：问题：2017年四季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。
SQL：SELECT COUNT(DISTINCT t1.[基金代码]), ROUND(SUM( t1.[报告期期初基金总份额] - t1.[报告期期末基金总份额]),2)
FROM 基金规模变动表 t1
WHERE t1.[截止日期] = '2017-12-31 00:00:00'
AND t1.[报告期期末基金总份额] < t1.[报告期期初基金总份额];
问题：2016年二季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。
SQL：SELECT COUNT(DISTINCT t1.[基金代码]), ROUND(SUM( t1.[报告期期初基金总份额] - t1.[报告期期末基金总份额]),2)
FROM 基金规模变动表 t1
WHERE t1.[截止日期] = '2016-06-30 00:00:00'
AND t1.[报告期期末基金总份额] < t1.[报告期期初基金总份额];
问题：2018年一季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。
SQL：SELECT COUNT(DISTINCT t1.[基金代码]), ROUND(SUM( t1.[报告期期初基金总份额] - t1.[报告期期末基金总份额]),2)
FROM 基金规模变动表 t1
WHERE t1.[截止日期] = '2018-03-31 00:00:00'
AND t1.[报告期期末基金总份额] < t1.[报告期期初基金总份额];
问题：请问2015年二季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。
SQL：SELECT COUNT(DISTINCT t1.[基金代码]), ROUND(SUM(t1.[报告期期末基金总份额] - t1.[报告期期初基金总份额]),2)
FROM 基金规模变动表 t1
WHERE t1.[截止日期] = '2015-06-30 00:00:00'
AND t1.[报告期期末基金总份额] > t1.[报告期期初基金总份额];
问题：请问2018年一季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点四位。
SQL：SELECT COUNT(DISTINCT t1.[基金代码]), ROUND(SUM(t1.[报告期期末基金总份额] - t1.[报告期期初基金总份额]),4)
FROM 基金规模变动表 t1
WHERE t1.[截止日期] = '2018-03-31 00:00:00'
AND t1.[报告期期末基金总份额] > t1.[报告期期初基金总份额];
问题：2021年三季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。
SQL："
8,"请帮我查询下，在20190605，中信行业分类里一级行业为石油石化行业的所有股票里, 成交金额(元)最多的股票的代码是什么？成交金额是多少？","SELECT t1.[股票代码], t1.[成交金额(元)]
FROM A股票日行情表 t1
JOIN A股公司行业划分表 t2 ON t1.[股票代码] = t2.[股票代码] 
AND t1.[交易日] = t2.[交易日期]
WHERE t1.[交易日] = '20190605'
AND t2.[行业划分标准] = '中信行业分类'
AND t2.[一级行业名称] = '石油石化'
ORDER BY t1.[成交金额(元)] DESC
LIMIT 1;","
        你是一个精通SQL语句的程序员。
        我会给你一个问题，请按照问题描述，仿照以下例子写出正确的SQL代码。
    以下是一些例子：问题：请帮我查询下，在20190612，中信行业分类里一级行业为地嗪开采行业的所有股票里, 成交金额(元)最多的股票的代码是什么？成交金额是多少？
SQL：SELECT t1.[股票代码], t1.[成交金额(元)]
FROM A股票日行情表 t1
JOIN A股公司行业划分表 t2 ON t1.[股票代码] = t2.[股票代码] 
AND t1.[交易日] = t2.[交易日期]
WHERE t1.[交易日] = '20190612'
AND t2.[行业划分标准] = '中信行业分类'
AND t2.[一级行业名称] = '地嗪开采'
ORDER BY t1.[成交金额(元)] DESC
LIMIT 1;
问题：请帮我查询下，在20200827，申万行业分类里一级行业为彩虹小马饲养行业的所有股票里, 成交金额(元)最多的股票的代码是什么？成交金额是多少？
SQL：SELECT t1.[股票代码], t1.[成交金额(元)]
FROM A股公司行业划分表 t2
JOIN A股票日行情表 t1 ON t2.[股票代码] = t1.[股票代码] AND t2.[交易日期] = t1.[交易日]
WHERE t2.[行业划分标准] = '申万行业分类'
AND t2.[一级行业名称] = '彩虹小马饲养'
AND t1.[交易日] = '20200827'
ORDER BY t1.[成交金额(元)] DESC
LIMIT 1;
问题：请查询在20160302日期，中信行业分类下彩虹小马饲养一级行业中，当日收盘价波动最大（即最高价与最低价之差最大）的股票代码是什么？
SQL：SELECT t1.[股票代码]
FROM A股票日行情表 t1
JOIN A股公司行业划分表 t2 ON t1.[股票代码] = t2.[股票代码] AND t1.[交易日] = t2.[交易日期]
WHERE t1.[交易日] = '20160302'
AND t2.[行业划分标准] = '中信行业分类'
AND t2.[一级行业名称] = '彩虹小马饲养'
ORDER BY (t1.[最高价(元)] - t1.[最低价(元)]) DESC
LIMIT 1;
问题：假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2016年，中信行业分类行业划分标准,彩虹小马饲养一级行业中, 代码为多少的股票的日均收益率最高？
SQL：SELECT t1.[股票代码], AVG((t1.[收盘价(元)] - t1.[昨收盘(元)]) / t1.[昨收盘(元)]) * 100 AS 日均收益率
FROM A股票日行情表 t1
JOIN A股公司行业划分表 t2 ON t1.[股票代码] = t2.[股票代码] AND t1.[交易日] = t2.[交易日期]
WHERE t1.[交易日] >= '20160101' AND t1.[交易日] <= '20161231'
AND t2.[行业划分标准] = '中信行业分类'
AND t2.[一级行业名称] = '彩虹小马饲养'
GROUP BY t1.[股票代码]
ORDER BY 日均收益率 DESC
LIMIT 1;
问题：20160422日，一级行业为彩虹小马饲养的股票的成交金额合计是多少？取整。
SQL：SELECT ROUND(SUM(t1.[成交金额(元)]),0)
FROM A股公司行业划分表 t2
JOIN A股票日行情表 t1 ON t1.[股票代码] = t2.[股票代码] 
AND t1.[交易日] = t2.[交易日期]
WHERE t2.[一级行业名称] = '彩虹小马饲养'
AND t1.[交易日] = '20160422';
问题：请帮我查询下，在20190605，中信行业分类里一级行业为石油石化行业的所有股票里, 成交金额(元)最多的股票的代码是什么？成交金额是多少？
SQL："
9,股票002244在20191220日期中的收盘价是多少?（小数点保留3位）,"SELECT ROUND(t1.[收盘价(元)],3)
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t1
WHERE t1.[股票代码] = '002244' AND t1.[交易日] = '20191220';","
        你是一个精通SQL语句的程序员。
        我会给你一个问题，请按照问题描述，仿照以下例子写出正确的SQL代码。
    以下是一些例子：问题：股票114514在20180104日期中的收盘价是多少?（小数点保留3位）
SQL：SELECT ROUND(t1.[收盘价(元)],3)
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t1
WHERE t1.[股票代码] = '114514' 
AND t1.[交易日] = '20180104';
问题：股票114514在20211105日期中的收盘价是多少?（小数点保留3位）
SQL：SELECT ROUND(t1.[收盘价(元)],3)
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t1
WHERE t1.[股票代码] = '114514' AND t1.[交易日] = '20211105';
问题：股票162105在20191124日期中的最高价是多少?（小数点保留3位）
SQL：SELECT ROUND(t1.[最高价(元)],3)
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t1
WHERE t1.[股票代码] = '162105' 
AND t1.[交易日] = '20191124';
问题：股票71415在20211105日期中的最高价是多少?（小数点保留3位）
SQL：SELECT ROUND(t1.[最高价(元)],3)
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t1
WHERE t1.[股票代码] = '71415' AND t1.[交易日] = '20211105';
问题：帮我算一下在20150716,代码为37201的港股日价格振幅是多少，小数点后保留不超过3位。
SQL：SELECT ROUND(t1.[最高价(元)] - t1.[最低价(元)],3) AS 日价格振幅
FROM 港股票日行情表 t1
WHERE t1.[股票代码] = '37201' AND t1.[交易日] = '20150716';
问题：股票002244在20191220日期中的收盘价是多少?（小数点保留3位）
SQL："
