问题id,问题,实体答案,final_ans1,ans_list
0,请帮我计算，在20210105，中信行业分类划分的一级行业为综合金融行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。,N_A,N_A,[]
1,湖南长远锂科股份有限公司变更设立时作为发起人的法人有哪些？,湖南长远锂科股份有限公司,"湖南长远锂科股份有限公司由五矿股份、长沙矿冶院、宁波创元、深圳安晏、尚颀颀旻、安鹏智慧、国调基金、建信投资、信石信远、华能融科、中信投资、三峡金石、伊敦基金、中启洞鉴14家法人作为发起人，由锂科有限于2019年4月整体变更设立股份有限公司。
湖南长远锂科股份有限公司变更设立时作为发起人的法人有五矿二十三冶建设集团有限公司、长沙矿冶研究院有限责任公司、宁波创元建工集团有限公司以及深圳市安晏投资合伙企业（有限合伙）。
湖南长远锂科股份有限公司变更设立时作为发起人的法人有五矿股份、长沙矿冶院、宁波创元、深圳安晏以及尚颀颀旻。
湖南长远锂科股份有限公司变更设立时的发起人包括五矿股份、长沙矿冶院、宁波创元、深圳安晏、尚颀颀旻、安鹏智慧、国调基金。
湖南长远锂科股份有限公司变更设立时作为发起人的法人有五矿股份、长沙矿冶院、宁波创元。
湖南长远锂科股份有限公司变更设立时作为发起人的法人有中国五矿集团、长沙矿冶院以及湖南海利化工股份有限公司。
五矿股份、长沙矿冶院是发行人并列第一大股东，且长沙矿冶院为五矿股份全资子公司。
湖南长远锂科股份有限公司变更设立时作为发起人的法人有五矿集团、长沙矿冶院和湖南海利化工股份有限公司。
湖南长远锂科股份有限公司变更设立时的发起人包括长沙矿冶院和金瑞科技。
湖南长远锂科股份有限公司变更设立时作为发起人的法人有长沙矿冶院和金瑞科技。
","['湖南长远锂科股份有限公司由五矿股份、长沙矿冶院、宁波创元、深圳安晏、尚颀颀旻、安鹏智慧、国调基金、建信投资、信石信远、华能融科、中信投资、三峡金石、伊敦基金、中启洞鉴14家法人作为发起人，由锂科有限于2019年4月整体变更设立股份有限公司。', '湖南长远锂科股份有限公司变更设立时作为发起人的法人有五矿二十三冶建设集团有限公司、长沙矿冶研究院有限责任公司、宁波创元建工集团有限公司以及深圳市安晏投资合伙企业（有限合伙）。', '湖南长远锂科股份有限公司变更设立时作为发起人的法人有五矿股份、长沙矿冶院、宁波创元、深圳安晏以及尚颀颀旻。', '湖南长远锂科股份有限公司变更设立时的发起人包括五矿股份、长沙矿冶院、宁波创元、深圳安晏、尚颀颀旻、安鹏智慧、国调基金。', '湖南长远锂科股份有限公司变更设立时作为发起人的法人有五矿股份、长沙矿冶院、宁波创元。', '湖南长远锂科股份有限公司变更设立时作为发起人的法人有中国五矿集团、长沙矿冶院以及湖南海利化工股份有限公司。', '五矿股份、长沙矿冶院是发行人并列第一大股东，且长沙矿冶院为五矿股份全资子公司。', '湖南长远锂科股份有限公司变更设立时作为发起人的法人有五矿集团、长沙矿冶院和湖南海利化工股份有限公司。', '湖南长远锂科股份有限公司变更设立时的发起人包括长沙矿冶院和金瑞科技。', '湖南长远锂科股份有限公司变更设立时作为发起人的法人有长沙矿冶院和金瑞科技。']"
2,请帮我查询出20210415日，建筑材料一级行业涨幅超过5%（不包含）的股票数量。,N_A,N_A,[]
3,请查询在2021年度，688338股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,N_A,N_A,[]
4,20210304日，一级行业为非银金融的股票的成交量合计是多少？取整。,N_A,N_A,[]
5,嘉实基金管理有限公司2019年成立了多少基金?,N_A,N_A,[]
6,云南沃森生物技术股份有限公司负责产品研发的是什么部门？,云南沃森生物技术股份有限公司,"云南沃森生物技术股份有限公司负责产品研发的是研发中心。
云南沃森生物技术股份有限公司负责产品研发的是科学委员会。
云南沃森生物技术股份有限公司负责产品研发的是研发管理部。
云南沃森生物技术股份有限公司负责产品研发的是由110人组成的专业研发团队，其中包括2名博士和10余名硕士。
云南沃森生物技术股份有限公司负责产品研发的是研发中心。
云南沃森生物技术股份有限公司负责产品研发的是科学委员会。
云南沃森生物技术股份有限公司负责产品研发的是科学委员会和研发中心。
云南沃森生物技术股份有限公司负责产品研发的部门是药物中心和检测技术与标准研究室。
","['云南沃森生物技术股份有限公司负责产品研发的是研发中心。', '云南沃森生物技术股份有限公司负责产品研发的是科学委员会。', '云南沃森生物技术股份有限公司负责产品研发的是研发管理部。', '云南沃森生物技术股份有限公司负责产品研发的是由110人组成的专业研发团队，其中包括2名博士和10余名硕士。', '云南沃森生物技术股份有限公司负责产品研发的是研发中心。', '云南沃森生物技术股份有限公司负责产品研发的是科学委员会。', '云南沃森生物技术股份有限公司负责产品研发的是科学委员会和研发中心。', '云南沃森生物技术股份有限公司负责产品研发的部门是药物中心和检测技术与标准研究室。']"
7,2021年三季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。,N_A,N_A,[]
8,"请帮我查询下，在20190605，中信行业分类里一级行业为石油石化行业的所有股票里, 成交金额(元)最多的股票的代码是什么？成交金额是多少？",N_A,N_A,[]
9,股票002244在20191220日期中的收盘价是多少?（小数点保留3位）,N_A,N_A,[]
